(-4.759677,0.08838715),
(-3.5196772,-0.27161285),
(-4.039677,0.34838715),
(-4.259677,-0.41161287),
(-4.499677,-1.1516129),
(-5.159677,-1.0316129),
(-4.8396773,-1.7516129),
(-3.9796772,-1.7316128),
(-3.7396772,-1.0316129),
(-2.9796772,-0.93161285),
(-3.0596771,-1.6716129),
(-2.2396772,-1.6316129),
(-2.7796772,-0.15161285),
(-1.4196771,-1.1116128),
(-2.2596772,-0.67161286),
(-2.119677,0.16838714),
(-3.2796772,0.34838715),
(-2.639677,0.70838714),
(-1.4796771,-1.9516128),
(-0.6796771,-2.0716128),
(-0.5196771,-1.2716129),
(-1.2396771,-0.27161285),
(-0.49967712,0.12838715),
(0.16032287,-0.95161283),
(0.36032286,-0.15161285),
(0.3003229,0.56838715),
(1.2803229,-0.41161287),
(1.0003228,0.46838716),
(1.9803228,-0.85161287),
(2.580323,-0.49161285),
(2.7003229,-1.3316128),
(1.9603229,-1.7116128),
(3.400323,-0.57161283),
(3.580323,-1.3516128),
(3.7803228,0.12838715),
(4.200323,-0.61161286),
(4.400323,-1.3316128),
(3.160323,-2.0916128),
(2.5003228,-2.191613),
(4.000323,-1.9316128),
(5.300323,-1.1916128),
(4.860323,-0.5316129),
(5.0803227,-1.9116129),
(5.780323,-0.57161283),
(5.300323,0.20838715),
(6.240323,0.24838714),
(6.700323,-0.5316129),
(6.240323,-1.1916128),
(5.780323,0.74838716),
(-2.5596771,1.5083871),
(-3.319677,1.9883871),
(-2.599677,2.2083871),
(-1.7796772,2.4683871),
(-2.4396772,2.8483872),
(-1.8796772,1.7683872),
(-1.1396772,2.9083872),
(-1.8196771,3.3283873),
(-1.0996771,3.7083871),
(-0.39967713,3.308387),
(-1.8996772,4.088387),
(-2.5196772,3.6683872),
(-3.179677,3.068387),
