(-2.2195783,-1.2352633),
(-3.2195783,-1.2352633),
(-2.9395783,-0.5792633),
(-2.8595781,-1.8912635),
(-3.8195782,-0.5792633),
(-3.1195784,0.07673645),
(-2.1395783,-0.5792633),
(-1.8195783,0.07673645),
(-2.4795783,0.7327365),
(-1.4395783,-0.5792633),
(-1.5195782,-1.2352633),
(-2.1995783,-1.8912635),
(-3.6595783,-1.8912635),
(-1.4795783,-1.8912635),
(-0.99957824,-2.5472634),
(-0.77957827,-1.8912635),
(-1.7795782,-2.5472634),
(-4.1755786,-2.4992633),
(-4.5195785,-1.8912635),
(-3.9795783,-1.2352633),
(-2.7795782,-2.5472634),
(-0.91957825,0.07673645),
(-0.7595782,-0.5792633),
(-0.17957824,-1.2352633),
(-1.8995782,1.3887366),
(-5.359578,-1.8912635),
(0.68042177,-1.2352633),
(-2.5395782,2.0447364),
(-1.6195782,2.0447364),
(-0.81957823,2.0447364),
(-1.2195783,2.7007368),
(-0.55957824,3.3567364),
(-0.41957825,2.7007368),
(-1.9995782,2.7007368),
(-3.2395782,2.0447364),
(-2.8395782,2.7007368),
(-1.9595783,3.3567364),
(-1.2595782,3.3567364),
(-0.17957824,4.0127363),
(0.24042176,3.3567364),
(1.1804217,3.3567364),
(0.78042173,2.7007368),
(0.88042176,4.0127363),
(1.8804218,3.3567364),
(1.5204217,2.7007368),
(1.3804218,-0.5792633),
(1.3604218,-1.2352633),
(1.3604218,-1.8912635),
(2.1004217,-1.2352633),
(2.7604218,-1.8912635),
(2.7204218,-0.5792633),
(3.3604217,-1.2352633),
(3.4804218,-1.8912635),
(3.4404218,-0.5792633),
(4.140422,-1.2352633),
(2.6804218,-2.5472634),
(2.5804217,0.07673645),
(3.9004219,-2.5472634),
(3.9404218,0.07673645),
(5.120422,-1.2352633),
(4.680422,-1.8912635),
(5.6644206,-1.8592633),
(5.9804215,-1.2352633),
(5.580422,-0.5792633),
(4.8604217,-0.5792633),
(6.120422,-2.5472634),
(6.3204217,-1.8992633),
(5.2604218,-2.5472634),
(6.4404216,-0.5792633),
(-6.1795783,-1.8912635),
(-5.2395782,-2.5472634),
(-6.1595783,-2.5472634),
(0.24042176,4.6687365),
(-0.25957826,5.324736),
(0.76042175,5.324736),
(-3.8595781,2.7007368),
